pert,target_var,pct_change,status,knockdown_ok
AAAS,AAAS,-89.77549743652344,ok,True
AAMP,AAMP,-75.24465942382812,ok,True
AARS,AARS,-91.45097351074219,ok,True
AARS2,AARS2,-95.11024475097656,ok,True
AASDHPPT,AASDHPPT,-81.50470733642578,ok,True
AATF,AATF,-89.21751403808594,ok,True
ABCB7,ABCB7,-93.60321807861328,ok,True
ABCB10,ABCB10,-24.729066848754883,ok,False
ABCE1,ABCE1,-82.9287338256836,ok,True
ABCF1,ABCF1,-57.58952713012695,ok,True
ABCG1,,,target_not_measured,False
ABHD11,ABHD11,-100.0,ok,True
ABHD17A,ABHD17A,-70.46137237548828,ok,True
ABT1,ABT1,-86.41223907470703,ok,True
ACD,ACD,-81.3991928100586,ok,True
ACIN1,ACIN1,-39.71980667114258,ok,True
ACOT12,,,target_not_measured,False
ACTB,ACTB,-63.000755310058594,ok,True
ACTL6A,ACTL6A,-82.87623596191406,ok,True
ACTR1A,ACTR1A,-36.569252014160156,ok,True
ACTR1B,ACTR1B,-84.73226165771484,ok,True
ACTR2,ACTR2,-92.8773422241211,ok,True
ACTR3,ACTR3,-71.15682220458984,ok,True
ACTR6,ACTR6,-93.42761993408203,ok,True
ACTR8,ACTR8,-87.63658142089844,ok,True
ACTR10,ACTR10,-92.15282440185547,ok,True
ADAT2,ADAT2,-97.72549438476562,ok,True
ADAT3,,,target_not_measured,False
ADRM1,ADRM1,-73.02194213867188,ok,True
ADSL,ADSL,-84.21324157714844,ok,True
AHCTF1,AHCTF1,-67.51234436035156,ok,True
AHCY,AHCY,-94.29428100585938,ok,True
AIFM1,AIFM1,-84.19686889648438,ok,True
AKIRIN2,AKIRIN2,-77.90019226074219,ok,True
ALDOA,ALDOA,-95.9430923461914,ok,True
ALG1,ALG1,-86.3458251953125,ok,True
ALG1L,,,target_not_measured,False
ALG2,ALG2,-71.46053314208984,ok,True
ALG11,ALG11,-72.01656341552734,ok,True
ALG13,ALG13,-95.81373596191406,ok,True
ALG14,ALG14,-82.77857208251953,ok,True
ALYREF,ALYREF,-46.762027740478516,ok,True
ANAPC1,ANAPC1,-71.32933044433594,ok,True
ANAPC2,,,target_not_measured,False
ANAPC4,ANAPC4,-81.33320617675781,ok,True
ANAPC5,ANAPC5,-90.03548431396484,ok,True
ANAPC11,ANAPC11,-83.33323669433594,ok,True
ANAPC13,ANAPC13,-92.2353286743164,ok,True
ANAPC15,ANAPC15,-21.052722930908203,ok,False
ANKLE2,ANKLE2,-86.9330825805664,ok,True
ANKRD11,ANKRD11,-79.71663665771484,ok,True
ANKRD49,ANKRD49,-83.56944274902344,ok,True
ANKS6,ANKS6,-85.42864227294922,ok,True
ANLN,ANLN,-94.30720520019531,ok,True
AP2M1,AP2M1,-46.264461517333984,ok,True
AP2S1,AP2S1,-86.41860961914062,ok,True
AQP7,,,target_not_measured,False
AQR,AQR,-83.18262481689453,ok,True
ARCN1,ARCN1,-60.92020797729492,ok,True
ARF4,ARF4,-79.44100952148438,ok,True
ARFRP1,ARFRP1,-50.66596984863281,ok,True
ARGFX,,,target_not_measured,False
ARGLU1,ARGLU1,-85.8499984741211,ok,True
ARHGAP11B,,,target_not_measured,False
ARID3A,ARID3A,-71.05879211425781,ok,True
ARIH1,ARIH1,-93.81251525878906,ok,True
ARL2,ARL2,-95.69893646240234,ok,True
ARL4D,ARL4D,-84.48074340820312,ok,True
ARMC6,ARMC6,-73.40642547607422,ok,True
ARMC7,,,target_not_measured,False
ARPC2,ARPC2,-74.57473754882812,ok,True
ARPC3,ARPC3,-34.757713317871094,ok,True
ARPC4,ARPC4,-88.82896423339844,ok,True
ASF1B,ASF1B,-91.4111328125,ok,True
ATF4,ATF4,-83.13052368164062,ok,True
ATF5,ATF5,-77.14539337158203,ok,True
ATL2,ATL2,-83.01277160644531,ok,True
ATP1A1,ATP1A1,-89.55426025390625,ok,True
ATP2A2,ATP2A2,-73.80982971191406,ok,True
ATP6AP1,ATP6AP1,-90.15254211425781,ok,True
ATP6AP2,ATP6AP2,-91.81077575683594,ok,True
ATP6V0B,ATP6V0B,-90.16452026367188,ok,True
ATP6V0C,ATP6V0C,-83.82301330566406,ok,True
ATP6V0D1,ATP6V0D1,-79.08332061767578,ok,True
ATP6V1A,ATP6V1A,-92.61605072021484,ok,True
ATP6V1B2,ATP6V1B2,-77.77700805664062,ok,True
ATP6V1C1,ATP6V1C1,-88.66548919677734,ok,True
ATP6V1D,ATP6V1D,-82.45658111572266,ok,True
ATP6V1E1,ATP6V1E1,-88.91515350341797,ok,True
ATP6V1F,ATP6V1F,-91.10965728759766,ok,True
ATP6V1G1,ATP6V1G1,-93.91967010498047,ok,True
ATP6V1H,ATP6V1H,-85.42272186279297,ok,True
ATR,ATR,-90.14712524414062,ok,True
ATRIP,ATRIP,-97.18785858154297,ok,True
AURKA,AURKA,-82.49217224121094,ok,True
AURKAIP1,AURKAIP1,-86.8105239868164,ok,True
AURKB,AURKB,-43.40245819091797,ok,True
BANF1,BANF1,-74.9976806640625,ok,True
BANP,BANP,-56.29597473144531,ok,True
BAP1,BAP1,-85.11598205566406,ok,True
BARD1,BARD1,-89.27851104736328,ok,True
BCAR1,BCAR1,-46.861572265625,ok,True
BCAS2,BCAS2,-86.62201690673828,ok,True
BCL2L1,BCL2L1,-45.23143768310547,ok,True
BCLAF1,BCLAF1,-93.0334243774414,ok,True
BCR,BCR,-31.70646095275879,ok,True
BCS1L,BCS1L,-94.10317993164062,ok,True
BDP1,BDP1,-86.65889739990234,ok,True
BET1,BET1,-89.24668884277344,ok,True
BGLAP,,,target_not_measured,False
BIRC5,BIRC5,-52.08625411987305,ok,True
BNIP1,BNIP1,-83.0621566772461,ok,True
BOP1,BOP1,-23.601102828979492,ok,False
BORA,BORA,-87.75084686279297,ok,True
BPTF,BPTF,-61.32038497924805,ok,True
BRCA1,BRCA1,-84.97993469238281,ok,True
BRCA2,BRCA2,-93.6594009399414,ok,True
BRD4,BRD4,-39.16743469238281,ok,True
BRD8,BRD8,-76.04412841796875,ok,True
BRF1,BRF1,-84.99022674560547,ok,True
BRF2,BRF2,-90.14073181152344,ok,True
BRIP1,BRIP1,-98.13999938964844,ok,True
BRIX1,BRIX1,-82.03301239013672,ok,True
BRK1,BRK1,-92.1572036743164,ok,True
BTF3,BTF3,-89.73319244384766,ok,True
BTF3L4,BTF3L4,-89.79447937011719,ok,True
BUB1,BUB1,-88.4359130859375,ok,True
BUB1B,BUB1B,-90.56116485595703,ok,True
BUB3,BUB3,-73.49932098388672,ok,True
BUD13,BUD13,-64.87419128417969,ok,True
BUD31,BUD31,-47.494388580322266,ok,True
BYSL,BYSL,-84.60185241699219,ok,True
C1D,C1D,-93.6783447265625,ok,True
C1QBP,C1QBP,-89.57695007324219,ok,True
C1QTNF4,,,target_not_measured,False
C1orf109,C1orf109,-33.28757858276367,ok,True
C6orf15,,,target_not_measured,False
C7orf26,C7orf26,-82.80218505859375,ok,True
C7orf50,C7orf50,-30.607839584350586,ok,True
C9orf16,C9orf16,-93.32354736328125,ok,True
C9orf78,C9orf78,-85.15916442871094,ok,True
C12orf45,C12orf45,-91.90058135986328,ok,True
C12orf60,,,target_not_measured,False
C14orf178,,,target_not_measured,False
C16orf86,,,target_not_measured,False
C17orf58,C17orf58,-86.16497802734375,ok,True
C19orf25,C19orf25,-85.32161712646484,ok,True
C19orf53,C19orf53,-89.00361633300781,ok,True
CA5A,,,target_not_measured,False
CACNB3,,,target_not_measured,False
CACTIN,CACTIN,-64.6017074584961,ok,True
CADM4,,,target_not_measured,False
CAMLG,CAMLG,-79.47603607177734,ok,True
CAPZB,CAPZB,-86.02595520019531,ok,True
CASP8AP2,CASP8AP2,-89.2175521850586,ok,True
CBLL1,CBLL1,-74.47528076171875,ok,True
CBLN1,,,target_not_measured,False
CBX1,CBX1,-91.68341827392578,ok,True
CCAR1,CCAR1,-90.6037826538086,ok,True
CCDC59,CCDC59,-82.51319885253906,ok,True
CCDC78,,,target_not_measured,False
CCDC84,CCDC84,-85.68658447265625,ok,True
CCDC86,CCDC86,-88.80323028564453,ok,True
CCDC115,CCDC115,-87.14662170410156,ok,True
CCDC130,CCDC130,-53.16587829589844,ok,True
CCDC137,CCDC137,-92.82078552246094,ok,True
CCDC144A,,,target_not_measured,False
CCDC144NL,,,target_not_measured,False
CCDC174,CCDC174,-83.23735809326172,ok,True
CCNB1,CCNB1,-92.150146484375,ok,True
CCND1,,,target_not_measured,False
CCNH,CCNH,-94.09941101074219,ok,True
CCNK,CCNK,-18.69263458251953,ok,False
CCNL1,CCNL1,-92.9010009765625,ok,True
CCP110,CCP110,-100.0,ok,True
CCT2,CCT2,-92.60136413574219,ok,True
CCT3,CCT3,-93.70438385009766,ok,True
CCT4,CCT4,-88.17941284179688,ok,True
CCT5,CCT5,-95.12763977050781,ok,True
CCT6A,CCT6A,-83.57840728759766,ok,True
CCT7,CCT7,-93.89154052734375,ok,True
CCT8,CCT8,-90.17350006103516,ok,True
CD2BP2,CD2BP2,-78.02347564697266,ok,True
CD3EAP,CD3EAP,-97.31524658203125,ok,True
CD8B,,,target_not_measured,False
